ROLL NUMBER,TEACHER,SUBJECT,FEEDBACK_TEXT,teaching,coursecontent,examination,labwork,library_facilities,extracurricular
122,Ms. Joshi,Economics,Content was outdated. Labs were well-equipped and interesting. Exam patterns were predictable and easy.,0,1,1,1,0,0
123,Mrs. Das,Chemistry,Labs were well-equipped and interesting. The teacher encouraged student interaction.,1,0,0,1,0,0
124,Mr. Sharma,Physics,Library had enough resources. Lab work was poorly managed. Course material was relevant and engaging.,0,1,0,1,1,0
125,Mr. Iyer,Mathematics,Continuous assessment was beneficial. Library was not maintained properly.,0,0,1,0,1,0
126,Mr. Iyer,Mathematics,Not many extracurricular activities were encouraged. The teacher explains very clearly.,1,0,0,0,0,1
127,Ms. Rani,Biology,We had hands-on experience every week.,0,0,0,1,0,0
128,Mr. Iyer,History,Lab sessions helped reinforce theory. Great support for extracurriculars.,0,0,0,1,0,1
129,Mr. Sharma,English,The teacher explains very clearly. We faced issues in accessing the digital library.,1,0,0,0,1,0
130,Mrs. Das,Mathematics,Exam patterns were predictable and easy.,0,0,1,0,0,0
131,Prof. Khan,History,The teacher encouraged student interaction. New books were regularly added. Student clubs were very active. Content was outdated.,1,1,0,0,1,1
132,Mr. Iyer,Economics,Not many extracurricular activities were encouraged.,0,0,0,0,0,1
133,Prof. Khan,Physics,The teacher was very supportive and helpful. Exam patterns were predictable and easy. Library had enough resources.,1,0,1,0,1,0
134,Dr. Verma,Economics,Continuous assessment was beneficial. Great support for extracurriculars. The reading space in the library is great. We had hands-on experience every week.,0,0,1,1,1,1
135,Prof. Khan,History,Student clubs were very active. The teacher encouraged student interaction. Evaluation was not up to the mark.,1,0,1,0,0,1
136,Mr. Iyer,Chemistry,The course covered all essential topics. Good teaching methods and examples.,1,1,0,0,0,0
137,Dr. Verma,Chemistry,The syllabus was well-structured. Good teaching methods and examples. Lab work was poorly managed.,1,1,0,1,0,0
138,Dr. Mehta,History,We had hands-on experience every week.,0,0,0,1,0,0
139,Mr. Iyer,Mathematics,New books were regularly added.,0,0,0,0,1,0
140,Dr. Mehta,English,Library was not maintained properly. The teacher explains very clearly.,1,0,0,0,1,0
141,Ms. Joshi,Economics,Good teaching methods and examples. The learning resources were very helpful. Not many extracurricular activities were encouraged.,1,1,0,0,0,1
142,Mr. Sharma,English,Course material was relevant and engaging. Labs were well-equipped and interesting.,0,1,0,1,0,0
143,Prof. Khan,Chemistry,The teacher encouraged student interaction. Exam patterns were predictable and easy. Loved the cultural and sports events.,1,0,1,0,0,1
144,Dr. Mehta,History,The learning resources were very helpful. Labs were well-equipped and interesting. Great support for extracurriculars.,0,1,0,1,0,1
145,Dr. Verma,Chemistry,Lab work was poorly managed. Library was not maintained properly. Loved the cultural and sports events.,0,0,0,1,1,1
146,Mr. Iyer,English,Loved the cultural and sports events. Labs were well-equipped and interesting. Continuous assessment was beneficial.,0,0,1,1,0,1
147,Dr. Mehta,Physics,Library had enough resources.,0,0,0,0,1,0
148,Dr. Verma,Mathematics,Exams were fair and well-balanced.,0,0,1,0,0,0
149,Dr. Verma,Physics,Exams were fair and well-balanced.,0,0,1,0,0,0
150,Mrs. Das,Mathematics,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
151,Prof. Khan,Computer Science,Labs were well-equipped and interesting. Course material was relevant and engaging.,0,1,0,1,0,0
152,Dr. Verma,Computer Science,The teacher was very supportive and helpful.,1,0,0,0,0,0
153,Dr. Mehta,Mathematics,The reading space in the library is great. The course covered all essential topics. Continuous assessment was beneficial.,0,1,1,0,1,0
154,Mrs. Das,Mathematics,We had hands-on experience every week. Not many extracurricular activities were encouraged. The syllabus was well-structured. Continuous assessment was beneficial.,0,1,1,1,0,1
155,Ms. Joshi,Mathematics,Great support for extracurriculars. Labs were well-equipped and interesting. Course material was relevant and engaging.,0,1,0,1,0,1
156,Mr. Iyer,Chemistry,Exam patterns were predictable and easy. We faced issues in accessing the digital library.,0,0,1,0,1,0
157,Prof. Khan,Biology,Not many extracurricular activities were encouraged.,0,0,0,0,0,1
158,Mr. Iyer,Physics,We had hands-on experience every week. The course covered all essential topics. Great support for extracurriculars.,0,1,0,1,0,1
159,Mrs. Das,Chemistry,Lab assistants were very helpful. Continuous assessment was beneficial.,0,0,1,1,0,0
160,Mrs. Das,Chemistry,Lab work was poorly managed.,0,0,0,1,0,0
161,Prof. Khan,English,The teacher explains very clearly. The course covered all essential topics.,1,1,0,0,0,0
162,Prof. Khan,Physics,There were lots of workshops and events. New books were regularly added.,0,0,0,0,1,1
163,Ms. Joshi,Economics,Evaluation was not up to the mark.,0,0,1,0,0,0
164,Ms. Joshi,Physics,The teacher encouraged student interaction. Student clubs were very active. Exams were fair and well-balanced. Lab sessions helped reinforce theory.,1,0,1,1,0,1
165,Ms. Rani,Computer Science,The concepts were explained in a student-friendly way. Library had enough resources. We had hands-on experience every week. The course covered all essential topics.,1,1,0,1,1,0
166,Mr. Iyer,History,Exams were fair and well-balanced. We had hands-on experience every week.,0,0,1,1,0,0
167,Dr. Verma,English,Exam patterns were predictable and easy. The teacher was very supportive and helpful.,1,0,1,0,0,0
168,Mr. Iyer,Biology,Continuous assessment was beneficial.,0,0,1,0,0,0
169,Mrs. Das,Computer Science,Course material was relevant and engaging. Good teaching methods and examples. We had hands-on experience every week.,1,1,0,1,0,0
170,Ms. Rani,Physics,Continuous assessment was beneficial. The syllabus was well-structured. Library was not maintained properly.,0,1,1,0,1,0
171,Mr. Iyer,English,Not many extracurricular activities were encouraged. We had hands-on experience every week.,0,0,0,1,0,1
172,Ms. Rani,History,The concepts were explained in a student-friendly way. Library had enough resources.,1,0,0,0,1,0
173,Prof. Khan,History,We faced issues in accessing the digital library. Labs were well-equipped and interesting. Exams were fair and well-balanced.,0,0,1,1,1,0
174,Mrs. Das,Physics,The teacher encouraged student interaction. Not many extracurricular activities were encouraged. Library had enough resources.,1,0,0,0,1,1
175,Dr. Mehta,Economics,Lab assistants were very helpful. Exams were fair and well-balanced.,0,0,1,1,0,0
176,Ms. Joshi,Computer Science,The reading space in the library is great. Content was outdated. The questions in the exam were tricky.,0,1,1,0,1,0
177,Ms. Joshi,Computer Science,Loved the cultural and sports events.,0,0,0,0,0,1
178,Mr. Iyer,Biology,Course material was relevant and engaging.,0,1,0,0,0,0
179,Dr. Mehta,History,Lab sessions helped reinforce theory. Content was outdated. Great support for extracurriculars. The teacher explains very clearly.,1,1,0,1,0,1
180,Mr. Iyer,History,The teacher was very supportive and helpful.,1,0,0,0,0,0
181,Prof. Khan,Economics,The questions in the exam were tricky. Not many extracurricular activities were encouraged. Good teaching methods and examples. Lab work was poorly managed.,1,0,1,1,0,1
182,Dr. Mehta,Economics,Evaluation was not up to the mark. The learning resources were very helpful. There were lots of workshops and events. Lab work was poorly managed.,0,1,1,1,0,1
183,Mr. Iyer,Physics,Content was outdated. The concepts were explained in a student-friendly way.,1,1,0,0,0,0
184,Mr. Iyer,Physics,Labs were well-equipped and interesting. New books were regularly added. The learning resources were very helpful. Not many extracurricular activities were encouraged.,0,1,0,1,1,1
185,Dr. Mehta,Computer Science,We had hands-on experience every week. The teacher explains very clearly. We faced issues in accessing the digital library.,1,0,0,1,1,0
186,Mr. Iyer,Chemistry,Not many extracurricular activities were encouraged. The questions in the exam were tricky. The teacher was very supportive and helpful.,1,0,1,0,0,1
187,Ms. Rani,Computer Science,Exam patterns were predictable and easy. The teacher encouraged student interaction. We had hands-on experience every week.,1,0,1,1,0,0
188,Dr. Mehta,Biology,Course material was relevant and engaging.,0,1,0,0,0,0
189,Ms. Joshi,Economics,The concepts were explained in a student-friendly way. Loved the cultural and sports events.,1,0,0,0,0,1
190,Mr. Sharma,Economics,There were lots of workshops and events. Lab sessions helped reinforce theory. New books were regularly added.,0,0,0,1,1,1
191,Mr. Sharma,English,The teacher encouraged student interaction. Library was not maintained properly. The learning resources were very helpful.,1,1,0,0,1,0
192,Prof. Khan,English,There were lots of workshops and events. Library was not maintained properly. Evaluation was not up to the mark.,0,0,1,0,1,1
193,Prof. Khan,Economics,The syllabus was well-structured. Continuous assessment was beneficial.,0,1,1,0,0,0
194,Mr. Sharma,Biology,The teacher was very supportive and helpful. The course covered all essential topics. Student clubs were very active. Exams were fair and well-balanced.,1,1,1,0,0,1
195,Ms. Rani,Mathematics,New books were regularly added.,0,0,0,0,1,0
196,Mrs. Das,English,Library had enough resources. Lab work was poorly managed.,0,0,0,1,1,0
197,Mr. Iyer,Mathematics,New books were regularly added. The teacher was very supportive and helpful. Lab work was poorly managed.,1,0,0,1,1,0
198,Prof. Khan,Mathematics,The teacher encouraged student interaction. Content was outdated.,1,1,0,0,0,0
199,Ms. Joshi,Chemistry,Continuous assessment was beneficial.,0,0,1,0,0,0
200,Mr. Iyer,English,Lab assistants were very helpful.,0,0,0,1,0,0
201,Mr. Sharma,Biology,The learning resources were very helpful. Labs were well-equipped and interesting. Evaluation was not up to the mark. Library had enough resources.,0,1,1,1,1,0
202,Mrs. Das,English,The reading space in the library is great. We had hands-on experience every week. Exams were fair and well-balanced. Content was outdated.,0,1,1,1,1,0
203,Dr. Mehta,Biology,Library had enough resources. We had hands-on experience every week.,0,0,0,1,1,0
204,Mrs. Das,Physics,Library had enough resources. Student clubs were very active.,0,0,0,0,1,1
205,Ms. Rani,History,Labs were well-equipped and interesting.,0,0,0,1,0,0
206,Dr. Verma,Economics,Library had enough resources. We had hands-on experience every week. The syllabus was well-structured.,0,1,0,1,1,0
207,Prof. Khan,Mathematics,The teacher explains very clearly. Loved the cultural and sports events. The learning resources were very helpful. Library was not maintained properly.,1,1,0,0,1,1
208,Mr. Iyer,Mathematics,The syllabus was well-structured. Evaluation was not up to the mark.,0,1,1,0,0,0
209,Ms. Rani,Computer Science,Lab sessions helped reinforce theory. Continuous assessment was beneficial.,0,0,1,1,0,0
210,Dr. Verma,Mathematics,Great support for extracurriculars. The teacher encouraged student interaction.,1,0,0,0,0,1
211,Dr. Mehta,Computer Science,Library had enough resources.,0,0,0,0,1,0
212,Mrs. Das,Economics,The questions in the exam were tricky. Good teaching methods and examples. Not many extracurricular activities were encouraged. The course covered all essential topics.,1,1,1,0,0,1
213,Ms. Joshi,Computer Science,Student clubs were very active. Exams were fair and well-balanced. Lab assistants were very helpful. Good teaching methods and examples.,1,0,1,1,0,1
214,Dr. Mehta,Computer Science,Evaluation was not up to the mark. Lab work was poorly managed.,0,0,1,1,0,0
215,Dr. Verma,Physics,Exams were fair and well-balanced.,0,0,1,0,0,0
216,Ms. Joshi,Economics,Continuous assessment was beneficial. The learning resources were very helpful. Library was not maintained properly. Lab assistants were very helpful.,0,1,1,1,1,0
217,Dr. Verma,English,Labs were well-equipped and interesting. New books were regularly added.,0,0,0,1,1,0
218,Mrs. Das,Biology,We had hands-on experience every week. The learning resources were very helpful. We faced issues in accessing the digital library. Exam patterns were predictable and easy.,0,1,1,1,1,0
219,Prof. Khan,Economics,The course covered all essential topics. The teacher was very supportive and helpful. Lab work was poorly managed. Continuous assessment was beneficial.,1,1,1,1,0,0
220,Dr. Mehta,English,New books were regularly added.,0,0,0,0,1,0
221,Ms. Rani,Computer Science,Good teaching methods and examples. Exam patterns were predictable and easy.,1,0,1,0,0,0
222,Mr. Iyer,Biology,Continuous assessment was beneficial. We had hands-on experience every week.,0,0,1,1,0,0
223,Mr. Iyer,Economics,Student clubs were very active. The concepts were explained in a student-friendly way. Content was outdated. Lab sessions helped reinforce theory.,1,1,0,1,0,1
224,Dr. Mehta,Mathematics,Exams were fair and well-balanced. The learning resources were very helpful. New books were regularly added. Student clubs were very active.,0,1,1,0,1,1
225,Mr. Sharma,Chemistry,Lab sessions helped reinforce theory.,0,0,0,1,0,0
226,Ms. Joshi,Computer Science,We faced issues in accessing the digital library. Good teaching methods and examples.,1,0,0,0,1,0
227,Ms. Rani,English,The teacher explains very clearly. The learning resources were very helpful. Continuous assessment was beneficial. Loved the cultural and sports events.,1,1,1,0,0,1
228,Mrs. Das,History,Course material was relevant and engaging. Lab work was poorly managed.,0,1,0,1,0,0
229,Ms. Joshi,Economics,The teacher was very supportive and helpful. Labs were well-equipped and interesting.,1,0,0,1,0,0
230,Mrs. Das,English,Loved the cultural and sports events. We faced issues in accessing the digital library.,0,0,0,0,1,1
231,Ms. Rani,Computer Science,Content was outdated.,0,1,0,0,0,0
232,Mr. Iyer,Physics,Exams were fair and well-balanced.,0,0,1,0,0,0
233,Dr. Mehta,Biology,Lab sessions helped reinforce theory. Loved the cultural and sports events. The reading space in the library is great.,0,0,0,1,1,1
234,Ms. Rani,Economics,Lab sessions helped reinforce theory. The teacher encouraged student interaction.,1,0,0,1,0,0
235,Dr. Mehta,Mathematics,Exams were fair and well-balanced. The learning resources were very helpful. The concepts were explained in a student-friendly way. There were lots of workshops and events.,1,1,1,0,0,1
236,Dr. Verma,Physics,Library was not maintained properly. Evaluation was not up to the mark. There were lots of workshops and events. The syllabus was well-structured.,0,1,1,0,1,1
237,Mr. Iyer,English,Library was not maintained properly. Student clubs were very active. Exams were fair and well-balanced.,0,0,1,0,1,1
238,Ms. Rani,Biology,The concepts were explained in a student-friendly way. The course covered all essential topics.,1,1,0,0,0,0
239,Mr. Iyer,Chemistry,The teacher encouraged student interaction. The questions in the exam were tricky. Course material was relevant and engaging. Student clubs were very active.,1,1,1,0,0,1
240,Dr. Verma,Computer Science,The teacher explains very clearly. The course covered all essential topics. Lab assistants were very helpful. Great support for extracurriculars.,1,1,0,1,0,1
241,Ms. Joshi,English,We faced issues in accessing the digital library. The concepts were explained in a student-friendly way. Evaluation was not up to the mark.,1,0,1,0,1,0
242,Ms. Rani,Economics,The concepts were explained in a student-friendly way. Course material was relevant and engaging. The questions in the exam were tricky.,1,1,1,0,0,0
243,Dr. Verma,History,Library was not maintained properly.,0,0,0,0,1,0
244,Mrs. Das,Mathematics,The teacher explains very clearly. Content was outdated. Lab assistants were very helpful. Library had enough resources.,1,1,0,1,1,0
245,Dr. Mehta,Mathematics,Exam patterns were predictable and easy. The learning resources were very helpful. Lab assistants were very helpful. Loved the cultural and sports events.,0,1,1,1,0,1
